@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23,25'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dis_Dot numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric
@attribute Score2 numeric

@data
3,7,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,5,8,19,1,North,1089,1287
4,7,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,4,7,18,1,East,1188,1386
5,7,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,17,1,East,1287,1485
6,7,1,0,1,1,1,1,1,8,7,11,7,18,11,-1,2,5,16,1,East,1386,1584
6,8,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,3,6,15,1,North,1485,1683
6,9,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,4,7,14,1,North,1584,1782
7,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,13,1,East,1683,1881
8,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,2,5,12,1,East,1782,1880
9,9,0,1,1,1,1,1,1,8,7,11,7,18,11,-1,3,4,11,1,East,1881,1879
9,8,1,1,1,0,1,1,1,8,7,11,7,18,11,-1,2,3,12,2,South,1880,2078
9,7,1,1,0,1,1,1,1,8,7,11,7,18,11,-1,1,2,13,2,South,1879,2077
8,7,0,1,0,0,1,1,1,3,1,11,7,18,11,-1,-1,3,14,2,West,2078,2076
9,7,1,1,0,1,1,1,1,3,1,11,7,18,11,-1,-1,2,13,2,East,2077,2275
10,7,1,1,0,1,1,1,1,3,1,11,7,18,11,-1,-1,1,12,2,East,2076,2274
11,7,0,0,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,11,2,East,2275,2273
10,7,1,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,12,2,West,2274,2372
10,8,1,0,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,11,1,North,2273,2471
10,9,0,1,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,10,1,North,2372,2570
11,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,9,1,East,2471,2669
12,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,8,1,East,2570,2768
13,9,1,1,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,7,1,East,2669,2867
14,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,6,1,East,2768,2966
15,9,1,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,5,1,East,2867,3065
15,10,1,0,1,0,1,1,1,3,1,5,1,18,11,-1,-1,-1,4,1,North,2966,3164
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,0,98
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,-1,197
8,3,1,1,0,1,1,8,7,10,7,11,7,17,9,4,6,7,15,1,West,98,296
7,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,7,8,16,1,West,197,395
6,3,1,1,0,1,1,8,7,10,7,11,7,17,9,6,8,9,17,1,West,296,494
6,4,1,0,1,0,1,8,7,10,7,11,7,17,9,5,7,8,16,1,North,395,593
6,5,1,0,1,1,1,8,7,10,7,11,7,17,9,4,6,7,15,1,North,494,692
6,6,1,0,1,0,1,8,7,10,7,11,7,17,9,3,5,6,14,1,North,593,691
6,7,1,1,1,1,1,8,7,10,7,11,7,17,9,2,4,5,13,1,North,692,890
7,7,0,1,0,1,1,8,7,10,7,11,7,17,9,1,3,4,12,2,East,691,889
8,7,0,1,0,1,1,1,1,10,7,11,7,17,9,-1,2,3,11,2,East,890,1088
9,7,1,1,1,1,1,1,1,10,7,11,7,17,9,-1,1,2,10,1,East,889,1287
10,7,1,1,0,1,1,1,1,3,1,11,7,17,9,-1,-1,1,9,1,East,1088,1286
11,7,0,0,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,8,2,East,1287,1385
10,7,1,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,9,1,West,1286,1484
10,8,1,0,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,8,1,North,1385,1583
10,9,0,1,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,7,1,North,1484,1682
11,9,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,6,1,East,1583,1781
12,9,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,1,East,1682,1880
13,9,0,0,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,1,East,1781,1979
13,8,1,0,1,0,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,1,South,1880,2078
13,7,1,1,1,0,1,1,1,3,1,5,1,17,9,-1,-1,-1,6,1,South,1979,2177
14,7,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,1,East,2078,2276
15,7,1,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,1,East,2177,2375
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop,0,-2
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop,-1,-3
1,17,1,0,1,0,1,5,9,11,3,17,6,25,13,12,24,27,28,-1,South,-2,-4
1,16,1,1,1,0,1,5,9,11,3,17,6,25,13,11,23,26,27,-1,South,-3,-5
1,15,1,1,1,0,1,5,9,11,3,17,6,25,13,10,22,25,26,-1,South,-4,-6
1,14,1,1,1,0,1,5,9,11,3,17,6,25,13,9,21,24,25,-1,South,-5,-7
1,13,1,0,1,0,1,5,9,11,3,17,6,25,13,8,20,23,24,-1,South,-6,-8
1,12,1,1,1,0,1,5,9,11,3,17,6,25,13,7,19,22,25,-1,South,-7,-9
1,11,1,0,1,0,1,5,9,11,3,17,6,25,13,6,18,21,26,-1,South,-8,-10
1,10,1,0,1,0,1,5,9,11,3,17,6,25,13,5,17,20,27,-1,South,-9,-11
1,9,1,0,1,0,1,5,9,11,3,17,6,25,13,4,16,19,28,-1,South,-10,-12
1,8,1,0,1,0,1,5,9,11,3,17,6,25,13,5,15,18,29,-1,South,-11,-13
1,7,1,0,1,0,1,5,9,11,3,17,6,25,13,6,14,17,30,-1,South,-12,-14
1,6,1,1,1,0,1,5,9,11,3,17,6,25,13,7,13,16,31,-1,South,-13,-15
2,6,0,1,1,1,1,5,9,11,3,17,6,25,13,6,12,15,30,-1,East,-14,-16
3,6,1,1,1,1,1,5,9,11,3,17,6,25,13,5,11,14,29,-1,East,-15,-17
4,6,1,1,1,1,1,5,9,11,3,17,6,25,13,4,10,13,28,-1,East,-16,-18
5,6,1,1,1,1,1,5,9,11,3,17,6,25,13,3,9,12,27,-1,East,-17,-19
5,7,1,1,1,1,1,5,9,11,3,17,6,25,13,2,10,13,26,-1,North,-18,180
5,8,1,1,1,1,1,5,9,11,3,17,6,25,13,1,11,14,25,-1,North,-19,179
5,9,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,12,15,24,-1,North,180,178
5,8,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,11,14,25,-1,South,179,177
5,7,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,10,13,26,-1,South,178,176
5,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,9,12,27,-1,South,177,175
6,6,1,1,0,1,1,1,1,11,3,17,6,25,13,-1,8,11,26,-1,East,176,174
7,6,0,1,0,1,1,1,1,11,3,17,6,25,13,-1,7,10,25,-1,East,175,173
8,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,6,9,24,-1,East,174,172
9,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,5,8,23,-1,East,173,171
10,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,4,7,22,-1,East,172,170
11,6,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,3,6,21,-1,East,171,169
11,5,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,2,7,22,-1,South,170,368
11,4,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,1,8,23,-1,South,169,367
11,3,1,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,24,-1,South,368,366
11,4,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,23,-1,North,367,365
