@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Remove-R20'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
8,9,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,2,5,12,East,1782
9,9,0,1,1,1,1,1,1,8,7,11,7,18,11,-1,3,4,11,East,1881
9,8,1,1,1,0,1,1,1,8,7,11,7,18,11,-1,2,3,12,South,1880
9,7,1,1,0,1,1,1,1,8,7,11,7,18,11,-1,1,2,13,South,1879
8,7,0,1,0,0,1,1,1,3,1,11,7,18,11,-1,-1,3,14,West,2078
9,7,1,1,0,1,1,1,1,3,1,11,7,18,11,-1,-1,2,13,East,2077
10,7,1,1,0,1,1,1,1,3,1,11,7,18,11,-1,-1,1,12,East,2076
11,7,0,0,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,11,East,2275
10,7,1,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,12,West,2274
10,8,1,0,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,11,North,2273
10,9,0,1,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,10,North,2372
11,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,9,East,2471
12,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,8,East,2570
13,9,1,1,1,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,7,East,2669
14,9,0,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,6,East,2768
15,9,1,1,0,1,1,1,1,3,1,5,1,18,11,-1,-1,-1,5,East,2867
15,10,1,0,1,0,1,1,1,3,1,5,1,18,11,-1,-1,-1,4,North,2966
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,Stop,0
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,Stop,-1
8,3,1,1,0,1,1,8,7,10,7,11,7,17,9,4,6,7,15,West,98
7,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,7,8,16,West,197
6,3,1,1,0,1,1,8,7,10,7,11,7,17,9,6,8,9,17,West,296
6,4,1,0,1,0,1,8,7,10,7,11,7,17,9,5,7,8,16,North,395
6,5,1,0,1,1,1,8,7,10,7,11,7,17,9,4,6,7,15,North,494
6,6,1,0,1,0,1,8,7,10,7,11,7,17,9,3,5,6,14,North,593
6,7,1,1,1,1,1,8,7,10,7,11,7,17,9,2,4,5,13,North,692
7,7,0,1,0,1,1,8,7,10,7,11,7,17,9,1,3,4,12,East,691
8,7,0,1,0,1,1,1,1,10,7,11,7,17,9,-1,2,3,11,East,890
9,7,1,1,1,1,1,1,1,10,7,11,7,17,9,-1,1,2,10,East,889
10,7,1,1,0,1,1,1,1,3,1,11,7,17,9,-1,-1,1,9,East,1088
11,7,0,0,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,8,East,1287
10,7,1,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,9,West,1286
10,8,1,0,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,8,North,1385
10,9,0,1,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,7,North,1484
11,9,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,6,East,1583
12,9,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,East,1682
13,9,0,0,1,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,East,1781
13,8,1,0,1,0,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,South,1880
13,7,1,1,1,0,1,1,1,3,1,5,1,17,9,-1,-1,-1,6,South,1979
14,7,0,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,5,East,2078
15,7,1,1,0,1,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,East,2177
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,Stop,0
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,Stop,-1
1,17,1,0,1,0,1,5,9,11,3,17,6,25,13,12,24,27,28,South,-2
1,16,1,1,1,0,1,5,9,11,3,17,6,25,13,11,23,26,27,South,-3
1,15,1,1,1,0,1,5,9,11,3,17,6,25,13,10,22,25,26,South,-4
1,14,1,1,1,0,1,5,9,11,3,17,6,25,13,9,21,24,25,South,-5
1,13,1,0,1,0,1,5,9,11,3,17,6,25,13,8,20,23,24,South,-6
1,12,1,1,1,0,1,5,9,11,3,17,6,25,13,7,19,22,25,South,-7
1,11,1,0,1,0,1,5,9,11,3,17,6,25,13,6,18,21,26,South,-8
1,10,1,0,1,0,1,5,9,11,3,17,6,25,13,5,17,20,27,South,-9
1,9,1,0,1,0,1,5,9,11,3,17,6,25,13,4,16,19,28,South,-10
1,8,1,0,1,0,1,5,9,11,3,17,6,25,13,5,15,18,29,South,-11
1,7,1,0,1,0,1,5,9,11,3,17,6,25,13,6,14,17,30,South,-12
1,6,1,1,1,0,1,5,9,11,3,17,6,25,13,7,13,16,31,South,-13
2,6,0,1,1,1,1,5,9,11,3,17,6,25,13,6,12,15,30,East,-14
3,6,1,1,1,1,1,5,9,11,3,17,6,25,13,5,11,14,29,East,-15
4,6,1,1,1,1,1,5,9,11,3,17,6,25,13,4,10,13,28,East,-16
5,6,1,1,1,1,1,5,9,11,3,17,6,25,13,3,9,12,27,East,-17
5,7,1,1,1,1,1,5,9,11,3,17,6,25,13,2,10,13,26,North,-18
5,8,1,1,1,1,1,5,9,11,3,17,6,25,13,1,11,14,25,North,-19
5,9,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,12,15,24,North,180
5,8,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,11,14,25,South,179
