@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dis_Dot numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
11,5,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,22,-1,North,356
11,6,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,6,21,-1,North,355
11,7,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,20,-1,North,354
11,8,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,19,-1,North,353
11,9,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,9,18,-1,North,352
11,10,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,17,-1,North,351
11,11,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,11,16,-1,North,350
11,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,-1,North,349
11,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,-1,North,348
12,12,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,11,14,-1,East,347
13,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,13,-1,East,346
14,12,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,9,12,-1,East,345
14,11,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,13,-1,South,344
14,10,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,14,-1,South,343
14,9,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,6,15,-1,South,342
14,8,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,5,16,-1,South,341
14,7,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,4,17,-1,South,340
14,6,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,3,18,-1,South,339
15,6,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,2,17,-1,East,338
16,6,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,1,16,-1,East,337
17,6,0,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,-1,East,536
18,6,0,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,14,-1,East,535
19,6,0,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,13,-1,East,534
20,6,0,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,12,-1,East,533
21,6,0,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,11,-1,East,532
22,6,0,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,10,-1,East,531
23,6,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,9,-1,East,530
23,7,1,1,1,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,-1,North,529
23,8,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,-1,North,528
23,9,1,1,1,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,North,527
23,10,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,-1,North,526
22,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,West,525
21,10,0,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,-1,West,524
20,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,-1,West,523
20,11,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,-1,North,522
20,12,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,North,521
20,13,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,-1,North,520
20,14,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,North,519
20,15,1,1,1,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,-1,North,518
21,15,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,East,517
22,15,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,-1,East,516
23,15,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,4,-1,East,515
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,0
4,12,0,1,1,1,1,9,3,11,6,20,12,22,9,14,13,16,22,2,Stop,-1
4,12,0,1,1,1,1,9,4,12,6,20,11,23,9,13,14,17,23,2,Stop,-2
4,12,0,1,1,1,1,9,4,12,5,20,12,23,8,13,15,16,22,2,Stop,-3
4,12,0,1,1,1,1,9,5,11,5,21,12,23,9,12,14,17,23,2,Stop,-4
4,12,0,1,1,1,1,9,5,11,6,21,12,23,8,12,13,17,22,2,Stop,-5
4,12,0,1,1,1,1,9,6,11,5,21,12,23,9,11,14,17,23,2,Stop,-6
4,12,0,1,1,1,1,9,7,11,6,21,11,23,8,10,13,18,22,2,Stop,-7
5,12,0,1,1,1,1,10,7,10,6,21,11,23,9,10,11,17,20,1,East,-8
6,12,0,1,1,1,1,10,7,10,6,21,11,22,9,9,10,16,19,1,East,-9
7,12,0,1,1,1,1,10,6,10,5,21,11,22,9,9,10,15,19,1,East,90
8,12,0,1,1,1,1,9,6,10,4,21,10,22,8,7,10,15,18,1,East,189
9,12,0,1,1,1,1,10,6,10,5,20,10,22,8,7,8,13,18,1,East,288
10,12,0,1,1,1,1,10,7,11,5,20,10,23,8,5,8,12,17,1,East,387
10,11,1,1,1,1,1,10,6,11,4,20,9,23,8,5,8,12,15,1,South,486
10,10,1,1,1,1,1,9,6,11,3,20,9,23,9,5,8,11,15,1,South,585
10,9,1,1,1,1,1,9,6,11,3,21,9,23,8,4,7,11,13,1,South,684
10,8,1,1,1,1,1,10,6,11,3,21,10,23,9,2,6,13,14,1,South,783
10,7,1,1,1,1,1,10,5,11,3,21,9,23,9,2,5,13,14,1,South,882
10,6,1,1,1,1,1,10,5,11,4,22,9,23,8,1,3,15,14,1,South,981
10,5,1,1,1,1,1,1,1,10,4,21,9,23,7,-1,1,15,14,1,South,1280
10,4,1,1,1,1,1,1,1,3,1,22,9,22,7,-1,-1,17,16,1,South,1579
11,4,1,1,1,1,1,1,1,3,1,22,10,22,8,-1,-1,17,16,1,East,1678
12,4,1,1,1,1,1,1,1,3,1,22,9,22,9,-1,-1,15,14,1,East,1777
13,4,1,1,1,1,1,1,1,3,1,22,9,21,9,-1,-1,14,14,2,East,1776
14,4,1,1,1,1,1,1,1,3,1,21,9,22,9,-1,-1,12,14,1,East,1775
15,4,1,1,1,1,1,1,1,3,1,21,9,23,9,-1,-1,11,12,1,East,1874
16,4,1,1,1,1,1,1,1,3,1,22,9,22,9,-1,-1,11,11,1,East,1973
17,4,1,1,1,1,1,1,1,3,1,22,8,22,9,-1,-1,9,11,1,East,2072
18,4,1,1,1,1,1,1,1,3,1,22,7,22,10,-1,-1,7,11,1,East,2071
